,metrics
0,"[1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 7, 0, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 5, 1, 0, 1, 1, 23, 52, 8]"
1,"[1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 7, 0, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 5, 1, 0, 1, 1, 23, 52, 8]"
2,"[1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 7, 0, 3, 1, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 5, 1, 0, 1, 1, 27, 59, 10]"
3,"[1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 7, 0, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 5, 1, 0, 1, 1, 23, 52, 8]"
4,"[1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 7, 0, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 4, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 5, 1, 0, 1, 1, 23, 52, 8]"
5,"[1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 7, 6, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 5, 1, 0, 1, 1, 27, 60, 7]"
6,"[3, 0, 0, 0, 0, 2, 4, 0, 1, 1, 24, 0, 6, 3, 3, 3, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 2, 4, 0, 1, 0, 17, 4, 0, 0, 1, 0, 59, 131, 11]"
7,"[3, 0, 0, 0, 0, 2, 4, 0, 1, 1, 24, 0, 6, 3, 3, 3, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 2, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 2, 4, 0, 1, 0, 17, 4, 0, 0, 1, 0, 59, 131, 11]"
8,"[3, 0, 0, 0, 0, 3, 4, 0, 1, 1, 24, 0, 7, 3, 3, 3, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 0, 2, 0, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 2, 5, 0, 1, 0, 18, 4, 0, 0, 1, 0, 63, 138, 11]"
9,"[3, 0, 0, 0, 0, 2, 4, 0, 1, 1, 24, 0, 6, 3, 3, 3, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 2, 1, 1, 0, 0, 0, 0, 2, 4, 0, 1, 0, 17, 4, 0, 0, 2, 0, 60, 132, 11]"
10,"[3, 0, 0, 0, 0, 2, 4, 0, 1, 1, 24, 0, 6, 3, 3, 3, 0, 0, 0, 0, 0, 0, 6, 2, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 2, 4, 0, 1, 0, 17, 4, 0, 0, 1, 0, 59, 131, 11]"
11,"[3, 0, 0, 0, 0, 4, 4, 0, 2, 2, 23, 6, 9, 2, 3, 3, 0, 0, 0, 0, 0, 0, 5, 0, 2, 5, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 2, 4, 0, 1, 0, 17, 4, 0, 0, 1, 0, 69, 151, 11]"
12,"[1, 1, 0, 0, 0, 0, 1, 0, 2, 1, 11, 0, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 1, 0, 0, 1, 27, 64, 10]"
13,"[1, 1, 0, 0, 0, 0, 1, 0, 2, 1, 11, 0, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 3, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 1, 0, 0, 1, 27, 64, 10]"
14,"[1, 1, 0, 0, 0, 0, 1, 0, 2, 1, 11, 0, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 1, 0, 0, 1, 27, 64, 10]"
15,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 10, 21, 5]"
16,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 10, 21, 5]"
17,"[2, 0, 1, 0, 0, 0, 3, 0, 2, 2, 10, 0, 5, 0, 3, 3, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 3, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 10, 10, 1, 0, 0, 1, 32, 76, 7]"
18,"[2, 0, 1, 0, 0, 0, 3, 0, 2, 2, 10, 0, 5, 0, 3, 3, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 0, 3, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 10, 10, 1, 0, 0, 1, 32, 76, 7]"
19,"[2, 1, 0, 0, 0, 1, 3, 0, 1, 0, 6, 0, 6, 0, 3, 3, 0, 1, 2, 0, 0, 0, 3, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 8, 1, 0, 0, 1, 26, 61, 7]"
20,"[2, 1, 0, 0, 0, 1, 3, 0, 1, 0, 6, 0, 6, 0, 3, 3, 0, 1, 2, 0, 0, 0, 3, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 8, 1, 0, 0, 1, 26, 61, 7]"
21,"[2, 6, 0, 0, 0, 2, 1, 0, 13, 7, 81, 0, 10, 28, 8, 8, 0, 0, 0, 1, 0, 0, 16, 0, 0, 8, 0, 8, 0, 6, 1, 5, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 2, 2, 2, 0, 56, 37, 5, 1, 0, 6, 161, 386, 13]"
22,"[1, 1, 0, 0, 0, 2, 1, 0, 2, 1, 6, 3, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 1, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 2, 0, 0, 2, 29, 63, 7]"
23,"[1, 1, 0, 0, 0, 2, 1, 0, 3, 2, 7, 9, 3, 1, 2, 2, 0, 0, 0, 0, 0, 0, 3, 0, 3, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 2, 0, 0, 2, 37, 80, 8]"
24,"[0, 0, 0, 0, 0, 3, 1, 0, 1, 1, 1, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 20, 40, 5]"
25,"[1, 0, 1, 0, 0, 4, 2, 0, 1, 1, 4, 3, 5, 0, 2, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 10, 5, 1, 0, 0, 1, 32, 67, 9]"
26,"[1, 2, 0, 0, 0, 5, 2, 2, 3, 1, 9, 3, 5, 2, 3, 3, 0, 0, 0, 0, 0, 0, 7, 1, 1, 6, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 3, 0, 0, 3, 46, 103, 10]"
27,"[1, 2, 0, 0, 0, 0, 1, 0, 3, 1, 21, 0, 2, 6, 3, 3, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 11, 7, 2, 0, 0, 2, 44, 104, 12]"
28,"[1, 2, 0, 0, 0, 0, 1, 0, 3, 1, 21, 0, 2, 6, 3, 3, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 3, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 11, 7, 2, 0, 0, 2, 44, 104, 12]"
29,"[1, 2, 0, 0, 0, 0, 1, 0, 3, 1, 21, 0, 2, 6, 3, 3, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 0, 3, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 11, 7, 2, 0, 0, 2, 44, 104, 12]"
30,"[1, 2, 0, 0, 0, 0, 1, 0, 3, 1, 21, 0, 2, 6, 3, 3, 0, 0, 0, 0, 0, 0, 5, 3, 0, 2, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 11, 7, 2, 0, 0, 2, 44, 104, 12]"
31,"[1, 2, 0, 0, 0, 1, 1, 0, 3, 1, 21, 9, 3, 6, 3, 3, 0, 0, 0, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 11, 7, 2, 0, 0, 2, 52, 120, 12]"
32,"[0, 1, 1, 0, 0, 0, 1, 0, 4, 3, 21, 0, 6, 5, 2, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 15, 7, 1, 0, 1, 0, 53, 122, 11]"
33,"[0, 1, 1, 0, 0, 0, 1, 0, 4, 3, 21, 0, 6, 5, 2, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 3, 0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 15, 7, 1, 0, 1, 0, 53, 122, 11]"
34,"[0, 1, 1, 0, 0, 0, 1, 0, 4, 3, 21, 0, 6, 5, 2, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 0, 3, 0, 3, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 15, 7, 1, 0, 1, 0, 53, 122, 11]"
35,"[0, 1, 1, 0, 0, 0, 1, 0, 4, 3, 21, 0, 6, 5, 2, 2, 0, 0, 0, 0, 0, 0, 6, 3, 0, 3, 0, 0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 15, 7, 1, 0, 1, 0, 53, 122, 11]"
36,"[0, 1, 1, 0, 0, 1, 1, 0, 4, 3, 21, 9, 7, 5, 2, 2, 0, 0, 0, 0, 0, 0, 3, 0, 3, 3, 0, 0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 15, 7, 1, 0, 1, 0, 61, 138, 11]"
37,"[1, 2, 0, 0, 0, 0, 1, 0, 5, 3, 25, 0, 3, 6, 3, 3, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 15, 10, 2, 0, 0, 2, 54, 128, 10]"
38,"[1, 2, 0, 0, 0, 0, 1, 0, 5, 3, 25, 0, 3, 6, 3, 3, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 3, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 15, 10, 2, 0, 0, 2, 54, 128, 10]"
39,"[1, 2, 0, 0, 0, 0, 1, 0, 5, 3, 25, 0, 3, 6, 3, 3, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 0, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 15, 10, 2, 0, 0, 2, 54, 128, 10]"
40,"[1, 2, 0, 0, 0, 0, 1, 0, 5, 3, 25, 0, 3, 6, 3, 3, 0, 0, 0, 0, 0, 0, 7, 3, 0, 4, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 15, 10, 2, 0, 0, 2, 54, 128, 10]"
41,"[1, 2, 0, 0, 0, 1, 1, 0, 5, 3, 25, 9, 4, 6, 3, 3, 0, 0, 0, 0, 0, 0, 4, 0, 3, 4, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 15, 10, 2, 0, 0, 2, 62, 144, 12]"
42,"[1, 2, 3, 0, 0, 0, 1, 0, 9, 7, 59, 0, 6, 14, 7, 6, 0, 0, 0, 0, 0, 0, 16, 0, 0, 16, 0, 0, 0, 6, 0, 6, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 29, 15, 9, 0, 2, 7, 125, 295, 10]"
