v1,v2
0.9335666666666667,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9345,0.9347
0.9344333333333333,0.9347
0.9344,0.9347
0.9343333333333333,0.9347
0.9342333333333334,0.9347
0.9344333333333333,0.9347
0.9344666666666667,0.9347
0.9343333333333333,0.9347
0.9344666666666667,0.9347
0.9344333333333333,0.9347
0.9345,0.9347
0.9345,0.9347
0.9344666666666667,0.9347
0.9344666666666667,0.9347
0.9344666666666667,0.9347
0.9344333333333333,0.9347
0.9344333333333333,0.9347
0.9344333333333333,0.9347
0.9345,0.9347
0.9344333333333333,0.9347
0.9344,0.9347
0.9344333333333333,0.9347
0.9344333333333333,0.9347
0.9345,0.9348
0.9345333333333333,0.9348
0.9343666666666667,0.9349
0.9343,0.9349
0.9342666666666667,0.935
0.9345,0.935
0.9343666666666667,0.9352
0.9344666666666667,0.9351
0.9345,0.9351
0.9345666666666667,0.9348
0.9347,0.935
0.9346333333333333,0.9345
0.9346333333333333,0.9344
0.9346,0.9344
0.9347,0.9346
0.9346,0.934
0.9346,0.9341
0.9349,0.9338
0.9349,0.9341
0.9350333333333334,0.9339
0.9352,0.9342
0.9349666666666666,0.9343
0.9350666666666667,0.9341
0.9350666666666667,0.9339
0.9351333333333334,0.934
0.9347666666666666,0.9342
0.9351,0.9338
0.9351666666666667,0.9337
0.9350666666666667,0.9342
0.9352,0.9339
0.9352666666666667,0.9341
0.9355,0.9342
0.9355666666666667,0.9332
0.9354,0.9334
0.9354,0.9343
0.9357333333333333,0.9331
0.9355,0.9334
0.9352666666666667,0.9335
0.9355,0.9339
0.9355333333333333,0.9334
0.9358,0.9338
0.9357333333333333,0.9334
0.9358666666666666,0.9326
0.9358666666666666,0.9331
0.9363,0.9329
0.9361666666666667,0.933
0.9362333333333334,0.9332
0.9362333333333334,0.9331
0.9365333333333333,0.9342
0.9366,0.9337
0.9368,0.9335
0.9367,0.9338
0.9369,0.9342
0.9368,0.9328
0.9368666666666666,0.933
0.9369,0.9328
0.9371333333333334,0.933
0.9367666666666666,0.933
0.937,0.933
0.9367666666666666,0.9327
0.9376666666666666,0.9323
0.9369,0.9314
0.9372333333333334,0.932
0.9370333333333334,0.9318
0.9374,0.9315
0.9375333333333333,0.9326
0.9372333333333334,0.931
0.9375333333333333,0.9312
0.9372333333333334,0.9312
0.9377333333333333,0.9303
0.9375333333333333,0.93
0.9374,0.9301
0.9375333333333333,0.9297
0.9380666666666667,0.9304
0.9374333333333333,0.9296
0.9382666666666667,0.9299
0.9381333333333334,0.9294
0.9375666666666667,0.9314
0.9376333333333333,0.9316
0.9378333333333333,0.9328
0.9384333333333333,0.9313
0.9378333333333333,0.9301
0.9385333333333333,0.9315
0.9386333333333333,0.9318
0.939,0.9303
0.9389333333333333,0.9297
0.9391,0.93
0.9386666666666666,0.9299
0.9391,0.929
0.9392333333333334,0.9301
0.9394,0.9307
0.9387666666666666,0.9292
0.9396,0.9305
0.9395,0.9305
0.9399,0.9297
0.9400666666666667,0.9285
0.9401,0.9285
0.9406333333333333,0.9272
0.9401,0.9283
0.9404,0.927
0.9405,0.9279
0.9414333333333333,0.9295
0.9399333333333333,0.9258
0.9405,0.9281
0.9405666666666667,0.9273
0.9409666666666666,0.9265
0.941,0.9277
0.9413,0.9262
0.9411666666666667,0.9259
0.9414666666666667,0.9311
0.9416,0.9305
0.9419666666666666,0.9277
0.9423,0.9277
0.9422,0.9254
0.9420333333333333,0.9262
0.9424333333333333,0.9267
0.9430333333333333,0.9262
0.9435,0.9285
0.9434333333333333,0.9257
0.9437333333333333,0.9245
0.9437333333333333,0.927
0.9438666666666666,0.9236
0.9437,0.9216
0.9434666666666667,0.9241
0.9428333333333333,0.9243
0.9431666666666667,0.922
0.9450666666666667,0.9231
0.9442666666666667,0.9305
0.944,0.9248
0.9452,0.9227
0.9466666666666667,0.9233
0.9455333333333333,0.9234
0.9459,0.9207
0.9455333333333333,0.9252
0.9459666666666666,0.9225
0.9462666666666667,0.9258
0.9461,0.9244
0.9466333333333333,0.9251
0.9467333333333333,0.9232
0.9468666666666666,0.9203
0.9471333333333334,0.9166
0.9476666666666667,0.9208
0.9471,0.9208
0.9461,0.9267
0.9454,0.9217
0.9472666666666667,0.9215
0.9469333333333333,0.9238
0.9473666666666667,0.9222
0.9472333333333334,0.9222
0.9487333333333333,0.924
0.9492,0.9252
0.9476666666666667,0.9244
0.9486333333333333,0.9195
0.9489666666666666,0.9242
0.9473666666666667,0.9276
0.9494,0.9271
0.9482333333333334,0.9212
0.9485,0.9226
0.9495666666666667,0.9214
0.9506,0.92
0.9499,0.9132
0.9483666666666667,0.9303
0.951,0.9205
0.9488333333333333,0.9191
0.9479666666666666,0.9159
0.9504333333333334,0.9216
0.9505333333333333,0.9087
0.9505,0.9277
0.9503666666666667,0.9193
0.9494,0.9134
0.9498666666666666,0.9192
0.9515666666666667,0.9033
0.9494333333333334,0.9048
0.9510333333333333,0.9083
0.9511333333333334,0.9152
0.9517333333333333,0.9124
0.9504,0.9126
0.9507666666666666,0.9236
0.9511666666666667,0.8959
0.9505333333333333,0.9103
0.9532,0.9098
0.9517666666666666,0.9132
0.9517666666666666,0.8935
0.9523,0.9061
0.9528,0.8986
0.9523666666666667,0.9093
0.9520333333333333,0.8948
0.9522,0.9094
0.9511333333333334,0.911
0.9543333333333334,0.8946
0.953,0.9021
0.9528666666666666,0.8937
0.9540666666666666,0.9178
0.9530666666666666,0.8957
0.9536666666666667,0.911
0.9534333333333334,0.9047
0.954,0.8888
0.9541333333333334,0.8959
0.9548,0.8773
0.9540333333333333,0.8901
0.9534333333333334,0.9149
0.9533333333333334,0.8825
0.9529666666666666,0.9025
0.9540333333333333,0.9018
0.9548,0.9053
0.9540666666666666,0.9086
0.9539666666666666,0.8885
0.9526666666666667,0.9009
0.9540333333333333,0.9034
0.9537333333333333,0.9092
0.9536666666666667,0.8951
0.9538,0.8943
0.9559,0.8989
0.953,0.9182
0.9561333333333333,0.9002
