Problem;Algorithm variation count;Counted through dataset;Counted through mutant list;;;;;;;;
linearSearch;6;271;48;48;54;41;48;32;271;TRUE;
binarySearch;6;1176;203;203;206;180;199;185;1176;TRUE;
max;3;154;52;52;50;;;;154;TRUE;
isEven;2;48;24;24;;;;;48;TRUE;
power;2;165;85;80;;;;;165;TRUE;
prime;2;135;67;68;;;;;135;TRUE;
solveLinearEq;1;448;448;;;;;;448;TRUE;
charCount;1;46;46;;;;;;46;TRUE;
wordCount;1;32;32;;;;;;32;TRUE;
allWordCount;1;3;3;;;;;;3;TRUE;
palindrome;1;58;58;;;;;;58;TRUE;
firstNonRepeatingChar;1;57;57;;;;;;57;TRUE;
bubbleSort;5;422;93;92;91;60;86;;422;TRUE;
insertionSort;5;606;125;124;122;122;113;;606;TRUE;
selectionSort;5;581;118;118;117;116;112;;581;TRUE;
merge;5;1485;296;298;296;297;298;;1485;TRUE;
mergeSort;5;467;93;94;94;94;92;;467;TRUE;
partition;5;680;141;141;138;137;123;;680;TRUE;
quickSort;5;335;68;67;67;66;67;;335;TRUE;
minDistance;3;214;72;72;70;;;;214;TRUE;
dijkstra;4;791;208;207;203;173;;;791;TRUE;
bfs;3;694;197;195;193;109;;;694;TRUE;
fordFulkerson;4;824;211;206;199;208;;;824;TRUE;
All distinct methods;23;9692;;;;;;;9692;TRUE;
All method variations;76;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
